precinct,biden_total,trump_total,total,trump_percent,biden_percent
2066,1524.0,1291.0,2815.0,45.86145648312611,54.138543516873895
2067,144.0,35.0,179.0,19.553072625698324,80.44692737430168
2068,1648.0,1266.0,2914.0,43.44543582704187,56.55456417295813
2069,1280.0,654.0,1934.0,33.81592554291623,66.18407445708377
2070,771.0,177.0,948.0,18.670886075949365,81.32911392405063
2071,262.0,93.0,355.0,26.197183098591548,73.80281690140845
2072,1277.0,904.0,2181.0,41.44887666208162,58.55112333791838
2073,474.0,229.0,703.0,32.574679943100996,67.42532005689901
2074,391.0,120.0,511.0,23.483365949119374,76.51663405088063
2075,412.0,89.0,501.0,17.764471057884233,82.23552894211576
2076,978.0,715.0,1693.0,42.23272297696397,57.76727702303604
2077,1007.0,686.0,1693.0,40.51978735971648,59.480212640283526
2078,1036.0,588.0,1624.0,36.206896551724135,63.793103448275865
2079,251.0,41.0,292.0,14.04109589041096,85.95890410958904
2080,575.0,246.0,821.0,29.963459196102317,70.03654080389768
2081,403.0,154.0,557.0,27.648114901256733,72.35188509874327
2082,622.0,289.0,911.0,31.72338090010977,68.27661909989024
2083,408.0,127.0,535.0,23.738317757009344,76.26168224299066
2084,1262.0,1259.0,2521.0,49.94049980166601,50.05950019833399
2085,605.0,262.0,867.0,30.219146482122262,69.78085351787774
2086,1471.0,934.0,2405.0,38.83575883575884,61.16424116424116
2087,721.0,619.0,1340.0,46.19402985074627,53.80597014925373
2088,1677.0,915.0,2592.0,35.300925925925924,64.69907407407408
2089,201.0,49.0,250.0,19.6,80.4
2090,922.0,357.0,1279.0,27.912431587177483,72.08756841282252
2091,1279.0,466.0,1745.0,26.704871060171918,73.29512893982807
2092,171.0,118.0,289.0,40.830449826989614,59.16955017301038
2093,610.0,392.0,1002.0,39.12175648702595,60.87824351297405
2094,68.0,60.0,128.0,46.875,53.125
2095,817.0,1068.0,1885.0,56.65782493368701,43.342175066313
2096,1055.0,449.0,1504.0,29.853723404255316,70.14627659574468
2097,1076.0,564.0,1640.0,34.390243902439025,65.60975609756098
2098,572.0,296.0,868.0,34.10138248847927,65.89861751152074
2099,602.0,491.0,1093.0,44.92223238792315,55.077767612076855
2100,542.0,268.0,810.0,33.086419753086425,66.91358024691358
2101,550.0,572.0,1122.0,50.98039215686274,49.01960784313725
2102,1070.0,781.0,1851.0,42.19340896812534,57.80659103187467
2103,105.0,32.0,137.0,23.357664233576642,76.64233576642336
2104,132.0,38.0,170.0,22.35294117647059,77.64705882352942
2105,235.0,73.0,308.0,23.7012987012987,76.2987012987013
2106,222.0,94.0,316.0,29.746835443037973,70.25316455696202
2107,1455.0,891.0,2346.0,37.97953964194373,62.02046035805626
2108,455.0,442.0,897.0,49.275362318840585,50.72463768115942
2109,1.0,0.0,1.0,0.0,100.0
